iter	Logloss
0	0.6918835166
1	0.6906326892
2	0.689360174
3	0.6879209913
4	0.6865754352
5	0.685625838
6	0.6847204241
7	0.6837737482
8	0.6824018578
9	0.6810402603
10	0.6798391883
11	0.6788954676
12	0.6776596424
13	0.6766088189
14	0.6755039344
15	0.6743230648
16	0.6731236422
17	0.6719964223
18	0.6709787156
19	0.6699796097
20	0.6688380756
21	0.6675466246
22	0.6663964274
23	0.6654113135
24	0.6644523313
25	0.6635619699
26	0.662746705
27	0.6618992076
28	0.6611791158
29	0.6601101105
30	0.6591979428
31	0.6579206419
32	0.6571126679
33	0.6560826094
34	0.6551573271
35	0.6541113709
36	0.6531905748
37	0.6520474978
38	0.6513518939
39	0.6504672042
40	0.6492714256
41	0.6483725742
42	0.6473313157
43	0.6462958605
44	0.6455880253
45	0.6444701217
46	0.6435428232
47	0.6425319771
48	0.6416666082
49	0.6404931763
50	0.6396760109
51	0.6388495549
52	0.6377377847
53	0.6367035501
54	0.6357508215
55	0.6348104605
56	0.6338804145
57	0.6331073919
58	0.6322180807
59	0.6314915345
60	0.6305151494
61	0.6293964287
62	0.6285093612
63	0.6274784137
64	0.6267671454
65	0.6259556306
66	0.6250034709
67	0.6240396139
68	0.6233224899
69	0.6223335523
70	0.6213497584
71	0.6204116556
72	0.6194699155
73	0.6186026018
74	0.6175566632
75	0.6167700922
76	0.6160382879
77	0.6151297784
78	0.6141741183
79	0.6132112797
80	0.6125235499
81	0.611527441
82	0.6105956242
83	0.6097959704
84	0.6087847693
85	0.6078839951
86	0.6068763173
87	0.6059464078
88	0.6049423016
89	0.6042428765
90	0.6036012634
91	0.6028987142
92	0.6022615305
93	0.6014110554
94	0.6004210234
95	0.5995296702
96	0.5989782219
97	0.5982575534
98	0.597556706
99	0.5968475241
100	0.5959662193
101	0.5954004006
102	0.5947848097
103	0.5939484282
104	0.5933670862
105	0.5928109522
106	0.5922058531
107	0.59125521
108	0.5905730748
109	0.5899154769
110	0.5892545014
111	0.5884966478
112	0.5877051008
113	0.5869541613
114	0.5863985611
115	0.5855753861
116	0.5847633627
117	0.5839911958
118	0.5833598336
119	0.5824859267
120	0.5818450269
121	0.5812335635
122	0.5807595341
123	0.5800007481
124	0.5792462589
125	0.5784996494
126	0.5777244439
127	0.5770357043
128	0.5764928631
129	0.5758619693
130	0.5750185488
131	0.5742453995
132	0.5736750022
133	0.5729122404
134	0.5720669849
135	0.5713120195
136	0.5705718643
137	0.5699543489
138	0.5692200781
139	0.5687357993
140	0.5680357743
141	0.5673678583
142	0.5665498706
143	0.5659683984
144	0.5652434078
145	0.5646360124
146	0.5641903137
147	0.563472744
148	0.5628695789
149	0.5622094485
150	0.5614604642
151	0.5609350659
152	0.560338718
153	0.5597226204
154	0.5589371728
155	0.5584362664
156	0.5577339117
157	0.5570790082
158	0.5566985804
159	0.556035615
160	0.555600522
161	0.5551242207
162	0.554476572
163	0.5540373107
164	0.5532811683
165	0.5528222349
166	0.5520416692
167	0.5513118248
168	0.5506478583
169	0.550090818
170	0.5494997375
171	0.548781957
172	0.5482103775
173	0.5477157302
174	0.5470823393
175	0.5467007822
176	0.5461984822
177	0.5455671124
178	0.5449388556
179	0.5445027158
180	0.5438751672
181	0.5432281581
182	0.5425265971
183	0.5419744271
184	0.5413624439
185	0.5408369301
186	0.540260241
187	0.5396811268
188	0.5390994886
189	0.5385218545
190	0.5378970205
191	0.5374455262
192	0.5368164696
193	0.5364419576
194	0.5360242136
195	0.5354166
196	0.5347655974
197	0.5342052769
198	0.5335475436
199	0.5329465322
200	0.5325641705
201	0.5321234902
202	0.5315969347
203	0.5309905696
204	0.5303436253
205	0.5298746577
206	0.5293119136
207	0.528910112
208	0.5282477057
209	0.5276115513
210	0.5272131964
211	0.5266668281
212	0.5262324884
213	0.5256498048
214	0.5252973017
215	0.5249412053
216	0.52453502
217	0.5239726808
218	0.5233591225
219	0.5228539991
220	0.522312396
221	0.5218893804
222	0.521518794
223	0.521096225
224	0.5206489414
225	0.5200944926
226	0.5197399571
227	0.5192356955
228	0.5187134738
229	0.5182274535
230	0.5176571668
231	0.5173587108
232	0.5169175266
233	0.5167117398
234	0.5163742042
235	0.5159741117
236	0.5156932674
237	0.5152587071
238	0.5147544093
239	0.5143715388
240	0.5138690001
241	0.5133024061
242	0.512973854
243	0.5124967546
244	0.5119274791
245	0.5114219748
246	0.5111159848
247	0.5108181454
248	0.5103447591
249	0.5098774231
250	0.5093843159
251	0.5089024409
252	0.5085934406
253	0.5081570961
254	0.5076677486
255	0.5071159206
256	0.5068063706
257	0.5065436987
258	0.5062803345
259	0.5060141849
260	0.5054797013
261	0.5049483347
262	0.5044871605
263	0.504140895
264	0.5037440366
265	0.5032228744
266	0.5027673163
267	0.502250889
268	0.5018524523
269	0.5014866081
270	0.5010186443
271	0.5006653561
272	0.5001557164
273	0.499765061
274	0.4994124004
275	0.4990166246
276	0.4987103979
277	0.4983434814
278	0.49794392
279	0.4974653644
280	0.4970132488
281	0.496742941
282	0.4963201987
283	0.4958666106
284	0.4954411177
285	0.4951695173
286	0.4947445897
287	0.494509945
288	0.4942399829
289	0.4939700063
290	0.4935311177
291	0.4931584655
292	0.4928279951
293	0.4923496715
294	0.4918738417
295	0.491489191
296	0.4912286854
297	0.4908256463
298	0.490534832
299	0.4901212852
300	0.4899132337
301	0.4896734908
302	0.4892623901
303	0.4889394301
304	0.4886843307
305	0.4883115248
306	0.4880373696
307	0.4877540846
308	0.4873564619
309	0.4869656792
310	0.4865769086
311	0.4863414656
312	0.4859600096
313	0.4855477768
314	0.485102693
315	0.4848511061
316	0.4844459459
317	0.484005476
318	0.4836908876
319	0.4832776484
320	0.4828897513
321	0.4824628563
322	0.482197625
323	0.4818442275
324	0.4815499136
325	0.4811836571
326	0.4808231617
327	0.4804839357
328	0.4801141112
329	0.4797063996
330	0.4793427009
331	0.4790036499
332	0.4787261745
333	0.4785194387
334	0.4783446876
335	0.4779720953
336	0.4776178107
337	0.4772541139
338	0.4768975926
339	0.4765000861
340	0.4763293102
341	0.4759569657
342	0.4756051589
343	0.4752409126
344	0.4749449214
345	0.4746895418
346	0.4743549997
347	0.4740332871
348	0.4736635801
349	0.4733420791
350	0.4730370962
351	0.4726483102
352	0.4723694245
353	0.4722220074
354	0.4719063585
355	0.4716070697
356	0.4713903853
357	0.471189543
358	0.4709516014
359	0.4706418013
360	0.4703034233
361	0.4699172475
362	0.469550801
363	0.4691949773
364	0.4688631155
365	0.4686626358
366	0.4683419228
367	0.4681476788
368	0.4678319637
369	0.4674621849
370	0.4672577969
371	0.4669698001
372	0.4666735446
373	0.466308517
374	0.4659328733
375	0.4656432972
376	0.4654503785
377	0.4650921225
378	0.464816769
379	0.4646633544
380	0.4645059769
381	0.4641833999
382	0.4639380488
383	0.4637059189
384	0.4634255152
385	0.4631575612
386	0.4628551121
387	0.462553138
388	0.4622761202
389	0.4619454736
390	0.461778369
391	0.4614817012
392	0.461309689
393	0.4611811669
394	0.460873091
395	0.4607226746
396	0.4605809704
397	0.4602820021
398	0.4600266897
399	0.4597234424
400	0.4594185704
401	0.4590747454
402	0.4588692987
403	0.4585918592
404	0.4582921103
405	0.4581216058
406	0.4578558516
407	0.4577176209
408	0.4574921611
409	0.4572374463
410	0.4569582749
411	0.4567704291
412	0.4564563868
413	0.4563247032
414	0.4561203757
415	0.4559694914
416	0.455781173
417	0.4555226046
418	0.4552053555
419	0.455052263
420	0.4548350408
421	0.4546951438
422	0.4544049588
423	0.4540860798
424	0.4539675075
425	0.4538409804
426	0.4535620204
427	0.4533242071
428	0.4531666406
429	0.4528378683
430	0.4525315013
431	0.4522248148
432	0.4520613909
433	0.4518002239
434	0.4515160441
435	0.4512295482
436	0.4509296443
437	0.4507945793
438	0.4505222839
439	0.4502335512
440	0.4500297383
441	0.4498499146
442	0.4497258278
443	0.4495506766
444	0.4494344542
445	0.4492582814
446	0.4489713466
447	0.4487339952
448	0.4486078148
449	0.4483274567
450	0.4480924352
451	0.4479525491
452	0.4478001991
453	0.4476352023
454	0.4475137393
455	0.4472322174
456	0.4470531931
457	0.4468193417
458	0.4466997383
459	0.4465452867
460	0.4464301399
461	0.4461644397
462	0.4459801469
463	0.4458760118
464	0.4456478384
465	0.4454059823
466	0.4451908135
467	0.4450229715
468	0.4448985233
469	0.4447470527
470	0.4446352399
471	0.444390085
472	0.4442999334
473	0.4441712409
474	0.4438871467
475	0.4437316799
476	0.443474455
477	0.4433130476
478	0.443061137
479	0.4429639568
480	0.4427324446
481	0.4424990578
482	0.4422323406
483	0.441984581
484	0.441726543
485	0.4415413499
486	0.4414559044
487	0.4412745749
488	0.4410960842
489	0.4408880966
490	0.4406370317
491	0.4405071398
492	0.4402444923
493	0.4400742639
494	0.4398713874
495	0.4396546151
496	0.4394604469
497	0.4392641591
498	0.4391133266
499	0.439031284
500	0.4388101869
501	0.4387242787
502	0.4384725644
503	0.4382633335
504	0.4381429218
505	0.4380435975
506	0.437891719
507	0.4377807045
508	0.4375781431
509	0.4374074907
510	0.4373142702
511	0.4372270303
512	0.4370881935
513	0.4369039426
514	0.4367784201
515	0.4365636158
516	0.4364140626
517	0.4361710863
518	0.4360579679
519	0.435893994
520	0.4358201137
521	0.4355772298
522	0.4353342219
523	0.435193485
524	0.4349645179
525	0.4347243381
526	0.4345617415
527	0.4343092267
528	0.4341935429
529	0.4340621429
530	0.433826745
531	0.4335945611
532	0.4334347101
533	0.4333043609
534	0.4331301287
535	0.4329533646
536	0.4327043358
537	0.4325800259
538	0.4323488573
