iter	Passed	Remaining
0	235	235166
1	239	119310
2	242	80640
3	246	61325
4	249	49646
5	250	41564
6	252	35787
7	253	31455
8	255	28085
9	256	25386
10	257	23179
11	259	21340
12	260	19788
13	262	18454
14	263	17298
15	264	16287
16	266	15394
17	267	14601
18	269	13890
19	270	13250
20	271	12669
21	273	12142
22	274	11662
23	275	11222
24	277	10813
25	278	10426
26	279	10065
27	280	9728
28	281	9409
29	281	9117
30	283	8852
31	284	8599
32	285	8360
33	286	8141
34	287	7932
35	288	7735
36	289	7546
37	291	7367
38	292	7197
39	293	7034
40	294	6877
41	295	6729
42	295	6587
43	296	6452
44	297	6323
45	298	6199
46	299	6081
47	300	5968
48	301	5859
49	302	5754
50	303	5653
51	304	5557
52	305	5464
53	306	5374
54	307	5287
55	308	5203
56	309	5123
57	310	5044
58	311	4969
59	312	4896
60	313	4825
61	314	4756
62	315	4690
63	316	4626
64	317	4564
65	318	4503
66	319	4445
67	320	4389
68	321	4333
69	322	4279
70	323	4227
71	324	4177
72	325	4127
73	326	4079
74	326	4032
75	327	3987
76	328	3942
77	329	3899
78	330	3856
79	331	3815
80	332	3774
81	333	3735
82	334	3696
83	335	3659
84	336	3622
85	337	3586
86	338	3551
87	339	3517
88	340	3483
89	341	3450
90	342	3418
91	343	3386
92	344	3355
93	344	3325
94	345	3295
95	346	3266
96	347	3238
97	348	3210
98	349	3182
99	350	3156
100	351	3130
101	352	3104
102	353	3079
103	354	3054
104	355	3029
105	356	3005
106	357	2981
107	358	2958
108	359	2936
109	360	2913
110	361	2891
111	362	2870
112	362	2849
113	363	2828
114	364	2807
115	365	2788
116	366	2768
117	367	2748
118	368	2729
119	369	2711
120	370	2692
121	371	2674
122	372	2656
123	373	2638
124	374	2621
125	375	2604
126	376	2587
127	377	2570
128	378	2554
129	379	2537
130	380	2521
131	381	2506
132	382	2491
133	383	2476
134	384	2460
135	385	2445
136	385	2431
137	386	2416
138	387	2402
139	388	2388
140	389	2374
141	390	2360
142	391	2347
143	392	2333
144	393	2320
145	394	2307
146	395	2294
147	396	2282
148	397	2269
149	398	2257
150	399	2245
151	400	2233
152	401	2221
153	402	2209
154	403	2197
155	404	2186
156	405	2175
157	406	2163
158	406	2152
159	407	2141
160	408	2130
161	409	2120
162	410	2109
163	411	2098
164	412	2088
165	413	2078
166	414	2068
167	415	2058
168	416	2047
169	417	2038
170	418	2028
171	419	2018
172	420	2009
173	421	1999
174	422	1990
175	423	1981
176	424	1972
177	425	1964
178	426	1955
179	427	1946
